TP,TN,FP,FN,threshold,accuracy,precision,recall,F1
52,83,7,1,0.1,0.9440559440559441,0.8813559322033898,0.9811320754716981,0.9285714285714285
51,87,3,2,0.2,0.965034965034965,0.9444444444444444,0.9622641509433962,0.9532710280373832
51,89,1,2,0.3,0.9790209790209791,0.9807692307692307,0.9622641509433962,0.9714285714285713
50,89,1,3,0.4,0.972027972027972,0.9803921568627451,0.9433962264150944,0.9615384615384616
49,89,1,4,0.5,0.965034965034965,0.98,0.9245283018867925,0.9514563106796116
48,90,0,5,0.6,0.965034965034965,1.0,0.9056603773584906,0.9504950495049505
48,90,0,5,0.7,0.965034965034965,1.0,0.9056603773584906,0.9504950495049505
46,90,0,7,0.8,0.951048951048951,1.0,0.8679245283018868,0.9292929292929293
43,90,0,10,0.9,0.9300699300699301,1.0,0.8113207547169812,0.8958333333333334
